"","funding_round_investment_type","funding_round_year","funding_round_amount_usd_per_invsestor","funding_round_investor_count","investee_category_1","investee_category_2","investee_category_3","investee_category_groups_1","investee_category_groups_2","investee_category_groups_3","investee_employee_count","investee_org_founded_on","investee_org_name","investee_city_region_country","investee_urban_center_final","investee_country_code","investee_world_region","investee_world_sub_region","investor_name","investor_type","investor_class_1","investor_class_3","investor_class_2","investor_investment_count","investor_total_funding_usd","investor_category_list_1","investor_category_list_2","investor_category_list_3","investor_category_group_1","investor_category_group_2","investor_category_group_3","investor_employee_count","investor_city_region_country","investor_urban_center_final","investor_country_code","investor_world_region","investor_world_sub_region","investment_source","distance_km","investor_uuid","investee_org_uuid","funding_round_uuid"
"1743","series_a",2007,1e+06,3,"Consumer","Internet","Machine Learning","Artificial Intelligence","Data and Analytics","Information Technology","1-10",NA,"Project Playlist","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","Pejman Nozad","person","investment_partner",NA,"angel",23,NA,"Angel Investment","Finance","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"dbf4d9d2-8775-9195-9e4f-0bcbd4e85ee4","7a705767-669a-9342-ad65-f599463cdba6","606198ad-7be3-c845-0b29-918fd92ca7b5"
"1744","series_a",2007,1e+06,3,"Consumer","Internet","Machine Learning","Artificial Intelligence","Data and Analytics","Information Technology","1-10",NA,"Project Playlist","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","Auren Hoffman","person","investment_partner",NA,"angel",83,NA,"Analytics","Artificial Intelligence","Machine Learning","Artificial Intelligence","Data and Analytics","Science and Engineering","51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.7503748209321,"abbda1d1-ac28-e1cc-1e91-6070a60a2c81","7a705767-669a-9342-ad65-f599463cdba6","606198ad-7be3-c845-0b29-918fd92ca7b5"
"1745","series_a",2006,1666666.66666667,3,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000",NA,"HuffPost","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","SoftBank Capital","organization","private_equity_firm",NA,NA,300,NA,"Artificial Intelligence","Finance","Financial Services","Artificial Intelligence","Data and Analytics","Financial Services","101-250","Tokyo, Tokyo, JPN","Tokyo, JPN","JPN","Asia","Eastern Asia","outside",10858.3372352326,"ec26a756-d387-a455-c6fc-90fe11ece02c","e6b07abf-8839-f1ca-759f-2759dc9a501f","7f05940c-4d2d-fecb-8e50-a0e5720e5065"
"1746","series_a",2006,1666666.66666667,3,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000",NA,"HuffPost","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","Greycroft","organization","venture_capital",NA,NA,779,NA,"Banking","Finance","Financial Services","Financial Services","Lending and Investments",NA,"51-100","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","inside",0,"9dd7066b-069a-9dd9-c211-06db31253bd0","e6b07abf-8839-f1ca-759f-2759dc9a501f","7f05940c-4d2d-fecb-8e50-a0e5720e5065"
"1747","series_a",2006,1666666.66666667,3,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000",NA,"HuffPost","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","HuffPost","organization",NA,NA,NA,8,3.7e+07,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","inside",0,"e6b07abf-8839-f1ca-759f-2759dc9a501f","e6b07abf-8839-f1ca-759f-2759dc9a501f","7f05940c-4d2d-fecb-8e50-a0e5720e5065"
"1748","series_b",2007,1666666.66666667,3,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000",NA,"HuffPost","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","HuffPost","organization",NA,NA,NA,8,3.7e+07,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","inside",0,"e6b07abf-8839-f1ca-759f-2759dc9a501f","e6b07abf-8839-f1ca-759f-2759dc9a501f","9241ae16-e08d-f17e-bdc0-64e49e23035a"
"1749","series_b",2007,1666666.66666667,3,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000",NA,"HuffPost","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","SoftBank Capital","organization","private_equity_firm",NA,NA,300,NA,"Artificial Intelligence","Finance","Financial Services","Artificial Intelligence","Data and Analytics","Financial Services","101-250","Tokyo, Tokyo, JPN","Tokyo, JPN","JPN","Asia","Eastern Asia","outside",10858.3372352326,"ec26a756-d387-a455-c6fc-90fe11ece02c","e6b07abf-8839-f1ca-759f-2759dc9a501f","9241ae16-e08d-f17e-bdc0-64e49e23035a"
"1750","series_b",2007,1666666.66666667,3,"Digital Media","News","Publishing","Content and Publishing","Media and Entertainment",NA,"501-1000",NA,"HuffPost","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","Greycroft","organization","venture_capital",NA,NA,779,NA,"Banking","Finance","Financial Services","Financial Services","Lending and Investments",NA,"51-100","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","inside",0,"9dd7066b-069a-9dd9-c211-06db31253bd0","e6b07abf-8839-f1ca-759f-2759dc9a501f","9241ae16-e08d-f17e-bdc0-64e49e23035a"
"1751","series_a",2007,11150000,1,"Advertising","Digital Media","Internet","Advertising","Internet Services","Media and Entertainment","unknown",NA,"NebuAd","Redwood City, California, USA","California Bay Area, USA","USA","Americas","Northern America","Menlo Ventures","organization","venture_capital",NA,NA,759,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",36.5317908844716,"a34c63f0-c277-3e4b-bbfc-1868ca81596d","58127590-464c-9e56-6320-ebf84b73c599","3816d022-ed4f-8455-be22-3606b5359ad0"
"1752","series_b",2007,9500000,2,"Advertising","Digital Media","Internet","Advertising","Internet Services","Media and Entertainment","unknown",NA,"NebuAd","Redwood City, California, USA","California Bay Area, USA","USA","Americas","Northern America","Sierra Ventures","organization","venture_capital",NA,NA,400,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","San Mateo, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",11.83152725157,"4a97f042-2d36-c628-178a-afbb0945a362","58127590-464c-9e56-6320-ebf84b73c599","f641ac26-5bf2-6151-9d06-955c92c3a326"
